,SentID,Cause,Effect,Label,Sent
7853,7854,liberalization,gains,1,"In the months leading up to trade negotiations, estimates of the economic gains from trade liberalization suddenly become newsworthy."
7855,7856,consumption,behaviour,1,"The resulting anti-social behaviour from alcohol consumption is an on-going matter that the town and the police continue to address, particularly in the summer months."
7858,7859,pleas,revolution,1,The revolution brought forth impassioned pleas condemning the common law for not respecting the interests of the people and calling for law reform.
7864,7865,beverages,benefits,1,The health benefits of alcoholic beverages are the subject of this investigation.
7872,7873,depression,inhibition,1,Inhibition through synaptic depression is unlike the previous forms of inhibition in that it turns on more slowly and thus acts as delayed negative feedback.
7875,7876,writing,joy,1,"The joy comes from Cather's writing: precise observation and wording, the lilting cadence of her phrasing, the beautiful and clear pictures she evokes of scenery and characters, and the unfamiliar, old fashioned words and expressions she uses."
7877,7878,drought,famine,1,"Famine following drought has hit the West African savannahs, where there have been other bad droughts, notably the great one of 1972-74."
7906,7907,belief,experience,1,"And, of course, everyone wants to prove the truth of their beliefs through experience, but the belief begets the experience."
7910,7911,man,jolliness,1,The man radiated jolliness.
7911,7912,traveling,discomfort,1,Earplugs relieve the discomfort from traveling with a cold allergy or sinus condition.
7912,7913,abuse,behaviour,1,There is a rise in erratic behaviour from substance abuse and frustration caused by long waits for hospital treatment.
7920,7921,molt,feathers,1,"The spring molt produces mottled brown feathers, making the female almost invisible as she sits on her nest."
7922,7923,castle,light,1,Beauty had scarcely uttered these words when the castle radiated with light.
7926,7927,washing,shrinkage,1,This durable short sleeve crew neck tee shirt is made of preshrunk cotton to minimize shrinkage after washing.
7932,7933,giving,happiness,1,Givers gain moral strength and happiness from giving.
7938,7939,charges,conflict,1,"Citing the conflict of interest created by the ethics charges, Nifong asked the state attorney general's office to take over the lacrosse case."
7944,7945,leaks,growth,1,Apartment residents in Delaware were awarded $1 million for health problems due to mold growth from unrepaired leaks.
7953,7954,lamp,light,1,A lamp's lumen output expresses the total amount of light the lamp emits in all directions per unit time.
7959,7960,crowd,optimism,1,"When deliberations began, the crowd of people jamming the hallways radiated optimism."
7967,7968,exports,growth,1,But Hong Kong was able to recover from that and is now experiencing strong economic growth from exports.
7969,7970,sun,light,1,The sun emits light or radiation at a large range of energies or frequencies.
7974,7975,deprivation,worsening,1,Mr C notes worsening of seizures and cognition with sleep deprivation and stress.
7983,7984,exposure,dryness,1,"Hand creams counteract dryness from exposure to wind, sun, and detergents."
7984,7985,staring effect,discomfort,1,Eye discomfort from this staring effect is exacerbated by low humidity.
7986,7987,transmitter,signal,1,The transmitter emits a constant radio signal to crea.
7987,7988,fear,anxiety,1,Parents also experience anxiety from fear of the suffering of their child and worry about an uncertain outcome.
7992,7993,reaction,inversion,1,In chemical lasers the inversion is produced by a chemical reaction.
1957,1958,explorer,region,0,"The explorer journeyed into the Arctic region of the Himalayas, determined to find a copy of the Himis manuscript or to expose the fraud."
1811,1812,boy,orphanage,0,One day the little orphan boy ran away from the orphanage.
6876,6877,circus,dreams,0,These four superb performers - and at the end it's almost impossible to believe there have been so few of them - present a wordless show that is like a circus of human dreams and nightmares.
3674,3675,band,competition,0,The current band arrived from the Lafayette competition.
3841,3842,cavvy,mounts,0,"Gorgol brought in your cavvy of mounts four days ago, took his bag, and rode off."
5445,5446,subculture,folksingers,0,"His work presented a new, spontaneous, unpolished style, which appealed to a subculture of folksingers, hipsters, mystics, and writers of 50s Cold War America where conformity and witchhunts sought to impose straitjacket freedom."
4273,4274,clusters,cosmology,0,The authors propose galaxy clusters as a tool for cosmology.
6566,6567,toddlers,soup,0,Even the toddlers make a tasty mint pea soup at the kids' cooking school in Bucktown that tax attorney Elena Marre gave up her law practice to open.
5779,5780,herbs,garden,0,They learned that some herbs and flowers planted in the garden help to control pests.
6469,6470,conjunction,grammarians,0,"I awoke to find a conjunction of grammarians standing over me, observing my disposition with a look that would put a sneer of butlers to shame."
1106,1107,review,work,0,"As of October 5, 2009, the group has finally produced a review summarising the work performed over the past 12 years."
2176,2177,cache,jewels,0,"The plot here involves a cache of stolen jewels and gold bars, which were confiscated at the end of World War II."
7405,7406,sauce,flour,0,"The sauce is made from soybean flour, chiles, red beans, and many other spices."
1324,1325,invitation,bottle,0,"Following the convention's sports theme, we placed a fun invitation with an AstroTurf look inside a branded water bottle."
6349,6350,cysteamine,gastric juice,0,Helicobacter pylori was released cysteamine into the gastric juice.
3621,3622,canaille,letters,0,"Behind him crouch canaille of minor letters sins, venial sycophantic hacks with shady past."
4662,4663,vegetable,soup,0,"A nice, big bowl of homemade vegetable soup is one of the best ways to get a lot of the veggies you need all in one dish."
6397,6398,cooperation,press,0,That cooperation has been explicitly described in the press in recent days.
2485,2486,can,body,0,This was an exciting innovation for the packaging industry because the aluminum can was made with only two pieces - a body and an end.
6634,6635,chimps,tools,0,4300 years ago chimps started making stone tools.
1029,1030,pile,ashes,0,"One of them jumps from the boat to the bank and turns into a pile of ashes, as if he had been on the earth for hundreds of years."
1723,1724,sections,city,0,"In the older sections of the city the street in front of one's house is considered the person's responsibility, it is seen as an extension of their house."
5966,5967,female,collar,0,The adult female has a faint emerald green collar that is difficult to discern in the field.
6535,6536,lawyer,team,0,The lawyer was a member of the team.
1804,1805,cigarettes,countries,0,He used to bring some cigarettes into these Middle Eastern countries.
5952,5953,coast,lowlands,0,"Here, the coast comprises coastal lowlands that receive the many small rivers flowing from the lake-studded plains of the island's western half."
917,918,bevy,roebucks,0,One who lives in the area of the Ural Mountains has a possibility of observing a bevy of roebucks.
437,438,pellets,cavities,0,The fibre pellets were blown into cavities using special equipment.
2408,2409,dowel,rod,0,I made sure that the end could still slide freely over the dowel rod.
6831,6832,deliverables,information,0,"The resulting deliverables provide richer, more detailed, and more helpful information for your clients."
7052,7053,author,reply,0,This comment refers to the author's reply.
1649,1650,crane,arm,0,"The crane arm raises, swivels, and extends to a maximum length of 11"" inches, just like our own Poe Ghostal."
1311,1312,thicket,contradictions,0,Biddle has done a thorough job of cutting through the thicket of contradictions and fantasies that surround the strategic bombing debate from 1914 to 1945.
7728,7729,thermostat,water,0,A thermostat keeps the water at the requested temperature.
1711,1712,dollar,basket,0,We derive a pair of optimal weights on the dollar in a currency basket to stabilize their trade balances for both of the countries.
6622,6623,metals,environment,0,Metals were released into the environment.
1758,1759,peptide,protein,0,The signal peptide is derived from a protein that is exported by the cell.
1840,1841,committee,document,0,The 25-member steering committee that drafted the document also passed it through two Palestinian GFM organizers.
463,464,guys,nets,0,The guys catch the shad with gill nets.
3065,3066,festival,alternative rock,0,"Lollapalooza is an annual music festival featuring alternative rock, hip hop, and punk rock bands, dance and comedy performances, and craft booths."
590,591,report,need,0,The report emphasised the need for better co-ordination between the agencies.
4133,4134,grave,fool,0,"When the guard happened upon a mass grave dug by this sick fool, a massive, horned, disgusting behemoth was digging itself out."
5223,5224,cameras,concert,0,He took the cameras to the concert.
4721,4722,profit,project,0,The new CEO has invested 10% of the profit from last year into a new project.
4813,4814,charts,popularity,0,The Billboard charts tabulate the relative weekly popularity of songs or albums in the United States.
5023,5024,cream,sauce,0,The big secret is that their white cream sauce is in fact the same ranch sauce they put on their salads and for dipping.
5378,5379,word,thwong,0,"The origin of the word ""thong"" is from the Old English thwong."
4742,4743,blush,boys,0,"Donald Rayfield, Professor of Russian and Georgian at the University of London, presents us with a blush of boys who made the Faustian bargain with Stalin."
2162,2163,passengers,shuttle,0,Many of the passengers took the shuttle to town and turned around in ten minutes retreating back to the comfort of the air-conditioned ship.
6256,6257,statement,campaign,0,A statement from the campaign claimed that police knew quickly they had killed an innocent man.
249,250,hotel,reconstruction,0,The hotel arose from the reconstruction of historical building.
5792,5793,carbon,emitter,0,The carbon sank into the emitter.
3942,3943,cats,claws,0,"Cats, on the other hand, retract their claws when they walk or run."
1903,1904,carpet,strips,0,I made the carpet by cutting a knitting wool into short strips.
6578,6579,film,philosophers,0,The film features eight influential contemporary philosophers walking around New York.
6030,6031,episode,riots,0,That episode also reflected on the 1992 Los Angeles riots.
1421,1422,rope,bell,0,"The thing that most struck him, however, was the rope of the great alarm bell on the roof, which hung down in a corner of the room on the right-hand side of the fireplace."
7787,7788,therapist,patient,0,A therapist helps the patient to understand himself or herself better.
1172,1173,bomb,can,0,The man was bluffing because the bomb was in a can of orange juice that had been served by the airline itself.
786,787,cd,folder,0,This music CD was misplaced into the wrong folder.
3795,3796,blood vessels,circulatory system,0,"Heart, blood vessels, blood are parts of the circulatory system."
1699,1700,milk,drink,0,I've been asking for a fizzy milk drink for a while.
3858,3859,bodies,persons,0,"A statement of the boards, councils, committees and other bodies consisting of two or more persons constituted as its part or for the purpose of its advice, and as to whether meetings of those boards, councils, committees and other bodies are open to the public, or the minutes of such meetings are accessible for public."
3445,3446,coterie,haters,0,It took the great Ronald Reagan years to develop his vast coterie of left wing haters.
6899,6900,scientists,supercapacitors,0,Scientists have made batteries and supercapacitors with little more than ordinary office paper and some carbon and silver nanomaterials.
5914,5915,films,film festival,0,"This year, many films from Asian countries are entering into the film festival."
3429,3430,artwork,creator,0,"Art, a concept separate from both artwork and creator, thus exists as the source for them both."
5245,5246,flexibility,basket,0,They achieved the maximum possible flexibility in a crockery basket for receiving a plurality of different items of crockery.
3298,3299,radionuclides,stainless steel,0,"Thus, during long-term operation of a reactor with a sodium coolant, the radionuclides migrated into stainless steel up to a depth of i00-ii0 ~m."
6054,6055,boy,windmill,0,"Some of you remember the story of William Kamkwamba, the boy who at 14 built a 12-watt windmill from improvised materials for his famine-stricken home in Africa."
5458,5459,child,petition,0,The child collected names on a petition and wrote to the Premier.
5357,5358,acids,spot,0,"After some time, the acids caused a white spot on the tooth where they dissolved some of the enamel."
1391,1392,marijuana,suitcase,0,The marijuana in the bed was in a suitcase.
3933,3934,president,university,0,The president of the university of the Philippines is elected for a single six-year term by the University's twelve-member Board of Regents.
1670,1671,marijuana,jar,0,"Appellant's only challenge to the application of the plain view doctrine is that because the marijuana was in a jar in the freezer compartment it was not in ""plain view."""
7570,7571,person,chores,0,It supports the personal information and interaction environment thus liberating the person from tedious chores and enriching their life and interaction with others in social or business contexts it enlarges the personal contribution.
2601,2602,bottle,iodine crystals,0,This is a small glass bottle with iodine crystals in it.
4650,4651,products,class,0,The protein products encoded by this class of resistance gene are located within the plant cell cytoplasm.
5301,5302,questions,proposals,0,The candidates then answered questions from other MPs on their proposals for reform of Parliament.
1298,1299,sugar,factory,0,These breakdown products are not only losses of sucrose but also have knock-on effects reducing the final output of processed sugar from the factory.
5246,5247,coffeemaker,valve,0,Another important part of the coffeemaker is the one-way valve.
5604,5605,termites,cup,0,The white plastic cup was put inside a large cup and 100 Formosan subterranean termites were released inside the large cup.
1241,1242,taxi,river,0,The taxi was dropped into the river killing all passengers.
927,928,job listings,careers section,0,Job listings in India have been added to our careers section.
3046,3047,style,feelings,0,This style of music reflected feelings and situations experienced in daily life.
3830,3831,necklaces,cradle,0,"Causing many night-glowing rubies to be strung on red silken thread, he put the necklaces in the cradle."
1131,1132,menage,characters,0,Belfast student Martin lives as part of a menage of outlandish characters all struggling to make sense of the 1970s psychosexual revolution under the watchful eye of their colourful landlady Crystal.
2405,2406,visas,travel,0,Bangladesh has urged India to do away with visas for travel between the two neighbours to boost trade.
6565,6566,backpack,geeks,0,"Mind you, a backpack is interpreted as a sign of geeks."
2552,2553,wheeze,people,0,This is another great new wheeze from the people who got rid of News at Ten in the first place (and then ended up bringing it back).
818,819,piano,keys,0,"He cleaned his piano keys, using the proposed tips, but also remembered: playing with clean hands can prevent future headache."
7806,7807,country,lodge,0,The hotel is in the style of a country lodge and only has 18 rooms.
2876,2877,letter,study,0,A letter informing about the study was sent to all patients.
6011,6012,combo,salads,0,I love the sweet and salty combo of the watermelon salads that have been all over the food world lately.
1841,1842,guide,website,0,"The student guide, consisting of a list and description of courses offered by each Faculty, is published on the website of the University."
655,656,website,projects,0,Members use the website to inform about projects and events.
76,77,love,artworks,0,This love of nature's gift has been reflected in artworks dating back more than a thousand years.
5424,5425,wine,vine,0,"It produces a wine descended from a local vine, Galbena de Odobesti, a light white wine, little aromatic but appreciated for its freshness and its balance."
2615,2616,pay,dispute,0,Third year student David Beer is one of those affected by the pay dispute.
754,755,statesman,draft,0,"When the statesman threw together a draft of the constitution in 1776, he probably did not realise he would be working in a couple of the positions specified quite so soon."
3660,3661,enamel,erosion,0,An important aim concerning enamel and dentin erosion is to identify agents that might protect the tooth surface from demineralization.
4667,4668,phrase,preface,0,The phrase was related in a preface of a 1904 collection of Drury's stories.
5505,5506,drilling,fluids,0,"Rice University and Houston-based MI SWACO, the world's largest producer of drilling fluids for the petrochemical industry, aim to develop a graphene additive."
7437,7438,keyboard,errors,0,Elecom's gear drive keyboard prevents typing errors.
3815,3816,humanity,space,0,The humanity has migrated into space to settle in an outer solar system.
2712,2713,farmer,jawbone,0,"In 1965, a farmer dug up the lower jawbone of a mammoth while in the process of expanding his cellar."
5367,5368,size,amount,0,The size of the issue was increased from its initial amount of US$750 million following strong market interest.
674,675,manufacturers,capscrews,0,"More recently, starter manufacturers have attached the flange with a number of capscrews to the main housing thus allowing a finite number of position."
5026,5027,holders,floor,0,Flag holders have been pushed into the floor to remove the bump on top of the flag.
5040,5041,factory,waste,0,The factory's waste had still not been proven as the cause of Minamata disease.
1621,1622,jaw,bone,0,Tasheki was taking photographs at the encounter site when a bullet hit his jaw bone.
2387,2388,material,mitochondria,0,Nuclear material of Trypanosoma brucei is imported into the mitochondria.
7820,7821,cooperation,activity,0,Cooperation through physical activity promotes important life skills.
5173,5174,box,paper bag,0,The box was inside a plain brown paper bag with a heart drawn on the side.
7532,7533,nurse,caregiver,0,A nurse helps the caregiver.
3511,3512,issue,value,0,"In this issue, we focus on the value of wild trees and the varied products they provide."
6762,6763,news,blog,0,"Milinkovich, executive director for life of the Eclipse Foundation (just kidding Mike) broke the news today in his blog."
1143,1144,plan,designer,0,The universe was made with a plan by a designer.
2017,2018,eucharist,mission,0,Eucharist is the source of the Church's mission.
7548,7549,anxiety,years,0,"His tendency to experience pathological anxiety from his early years and his tendency to respond to novelty, change, and challenges with an exaggerated anxiety response were noted."
316,317,writer,letters,0,A street writer who specialises in love letters becomes involved with one of the addressees.
5867,5868,droxyapatite,gaps,0,Droxyapatite were implanted into facial osteotomy gaps.
7943,7944,cave,telephone,0,"Located inside the cave was an old, broken-down army field telephone."
1041,1042,volume,essays,0,This volume contains fifteen essays by well-established scholars addressed to various aspects of Russell's wide-ranging and dynamic philosophical work.
3432,3433,crowd,capital,0,The crowd departs from the capital after the swearining of President Barack Obama.
908,909,house,senators,0,His reformation of many of the roman laws caused quite a bit of discomfort in the seats of power at the house of senators.
7381,7382,ballplayers,policy bat,0,Cuban ballplayers wield a bigger policy bat.
1179,1180,material,copy,0,This material was produced from a microfilm copy of the original document.
6734,6735,author,book,0,The author of this book is believed to be Nehemiah himself.
7566,7567,objects,chart,0,It often becomes necessary to delete objects from the chart during the course of monitoring system performance.
2228,2229,customs,culture,0,New Western customs moved into the traditional Asian culture.
4391,4392,editor cum scientist,reverence,0,"The editor cum scientist approached the pod with reverence, and a remote control device."
7060,7061,raffle,turkeys,0,"The farm takes on the raffle of turkeys in July, when they're just one day old, until they're slaughtered in December."
4922,4923,electromagnet,coil,0,"The electromagnet has a coil of insulated wire around it, which corresponds to the life energy currents which magnetise our body."
3003,3004,screw,arm,0,"This way the idle speed is set correctly using the Bypass screw without touching the screw on the throttle arm, which has to be set exactly right."
4961,4962,hinge,knee brace,0,"Additionally, and particularly in the case of injured or weak knees, means must be provided in the hinge of the knee brace to control the extension of the knee joint and to stop the extension."
1168,1169,troops,incursion,0,"British troops made their deepest incursion into Basra yesterday, ""poking a toe"" within four miles of the centre."
7805,7806,materials,mixing,0,The materials were produced by mixing the constituents and processing them through a press/sinter cycle to produce a consolidated material.
5862,5863,pictures,taverns,0,In 1672 he opened a tavern in Leiden and many of his pictures represent taverns and festive gatherings.
1121,1122,mitochondria,generations,0,Mitochondria were passed on to subsequent generations only through egg cells.
3818,3819,doors,church,0,In a moment more the crowd began to gush forth from the doors of the church.
839,840,information,sentence,0,The essential information is found in the second sentence.
5287,5288,mansion,museum,0,"The mansion has a small museum with exhibits linked to the building's history, including antique Singer sewing machines."
1913,1914,operator,cloth,0,"Next up is the fingerprint scanner, the scanner was cleaned by the UKPS operator with a cloth."
2565,2566,exemption,goods,0,Such exemption also applies to goods supplied for use on ships and aircraft.
5313,5314,good practice,film clips,0,Samples of good practice were highlighted through film clips presented to the audience.
3586,3587,teacher,screwdriver,0,They continued in conversation when the teacher tapped him on the head with a screwdriver.
2414,2415,freshener,parts,0,"An air freshener is constructed from parts to make a model of an object from everyday life, e.g. an airplane, insect, or bird."
2252,2253,beam,valve,0,The combined beam forms a picture using a light valve.
6798,6799,wave,region,0,In this animation the incident wave is travelling from a high density region towards a low density (high wave speed) region.
5003,5004,poet,pen,0,"Beaulieu's predilection for the work of Hugo was evident in the recurrent use of grotesque or architecturally fantastic pictorial material from the poet's pen and ink sketches, with the whale a recurrent figure."
1097,1098,teacher,program,0,"During the 1980s, that exceptional teacher at a poor public school built a calculus program rivaled by only a handful of exclusive academies."
3618,3619,girlfriend,sweater,0,"Speaking of nerdy sweaters, my girlfriend knit me a Mugatu sweater for xmas a few years back."
5443,5444,builder,land,0,The builder who has mortgaged the land to raise money will have to spell this out in all advertisements and brochures.
4686,4687,peasants,donkeys,0,The peasants used of donkeys for cart pulling which not only enables larger quantities of goods to be transported but also allows users to earn extra income.
617,618,electricity,water,0,"Accidentally, the electricity flew into the water on the ground."
563,564,document,economic policy,0,The White Paper Full Employment in Australia was the defining document of economic policy in Australia for the 30 years between 1945 and 1975.
2344,2345,people,powers,0,"In this constitution the people was the source of all powers, but it exercised none."
2336,2337,factory,cars,0,"Beginning in 1939, the factory's passenger cars were sold under the Moskvitch (""Muscovite"") brand."
519,520,scissors,stylist,0,The size of the scissors used by a beginning stylist for learning to cut the hair is actually determined more by the size of his or her hands.
4063,4064,tier,towels,0,"The bottom tier was made with two bath towels, the third tier with one bath towel, the second tier with two hand towels."
4353,4354,legs,company,0,And those are guys running on the exact same legs made by the same company.
5275,5276,skegs,kayak,0,Rudders and skegs improve the control over your kayak.
4603,4604,researchers,simulator,0,Researchers at Durham University have turned a video game into a fire drill simulator.
6050,6051,buildings,villains,0,"A Katrina-like hurricane eventually collapses the slapdash apartment buildings the villains have constructed, killing the guilty and innocent alike."
3552,3553,local legend,mausoleum,0,"The local legend is about a mausoleum that was also the final resting place of King Robert the Bruce, adding spin to the Earl's noble connections."
6713,6714,list,cities,0,The following is a list showing the 100 largest incorporated cities in the state of California ranked by population.
7917,7918,scientists,explosion,0,The residents and scientists learned from the Krakatau explosion.
3266,3267,nest,grass,0,The female constructs a nest of grass in a hollow on the ground.
3192,3193,haft,axe,0,The haft of the axe is make of yew wood.
4766,4767,controller,system,0,The controller regulates the superheat using a double loop system.
1303,1304,branch,diagram,0,The horizontal branch is a part of the Hertzsprung -Russell (H-R) diagram that represents stars that burn helium in thier cores.
3664,3665,layer,beaker,0,"When the layers have separated, the lower layer drained into a beaker; this phase is thrown away."
6628,6629,author,novel,0,"The author's new novel, a staggeringly detailed and charged re-creation of the period between the end of the 19th century and the first world war, overflows with people attempting to define their responsibilities."
4212,4213,batter,pan,0,"Following step 2 in making pancake, he poured the batter in the pan."
7047,7048,lid,casing,0,He noticed that this black substance was also on the lid of the cracked stone casing.
1252,1253,regiment,infantrymen,0,"They signed him up and sent him to Dakar, to a regiment of Senegalese infantrymen that was leaving for Verdun in 1917."
5066,5067,organisation,child labour,0,The organisation campaigns against such things as child labour.
4262,4263,servant,spoon,0,The servant who carves removes the fat with a spoon.
6388,6389,outdoor unit,defrost,0,The outdoor unit is going into defrost.
6042,6043,campaigners,group,0,"All that has changed after the arrival, last month, of a handful of socialist environmental campaigners from the group."
4373,4374,dashboard area,car,0,"He started with the dashboard area of the car, as that's where so much dust and dirt shows up."
5008,5009,feet,track,0,Hundreds of tramping feet have pressed the snow into a glacial track.
6377,6378,cabinet,names,0,"At his inauguration in November, he pledged a fresh start after an election marred by fraud and violence, but disappointed many by presenting a cabinet of familiar names."
100,101,score,orchestra,0,"Flowers are reborn from the soil and the climate begins to warm, all set to a score improvised by an orchestra of birds."
518,519,manufacturer,drug,0,"And in every single trial, the sponsoring manufacturer's drug came out as better than, or equal to, the others in the trial."
3507,3508,string,beads,0,"I remembered about a string of rosary beads my mother purchase for me from a young priest and I pulled them out of the nightstand, (where they had been for about 15 years)."
7903,7904,flask,ale,0,Bevan opens a case on the other side of the room and pulls out a flask that contains ale of the best sort.
3738,3739,plans,meltdown,0,Barber's Olympic bobsleigh plans go into meltdown.
1633,1634,soot,fireplace,0,The soot has been blown down into the fireplace.
2327,2328,huddle,ideas,0,"Several merry answers were made to my question, which entertained us 'till bed time, and filled my mind with a huddle of ideas."
1012,1013,rod,tool,0,The rod in the hand priming tool is quite long and the handle bottoms out before the primer is completely seated.
6169,6170,friend,relationship,0,My friend has entered into a new relationship.
3339,3340,publication,violations,0,It is an online publication dedicated to informing the world about the numerous state violations of citizens' rights.
7183,7184,hunter,spear,0,It is noteworthy that Peacham's emblem has a hunter chasing the ermine with a spear and dogs.
1429,1430,letter,demolition,0,The letter contains a description of the demolition of the old synagogue.
5295,5296,heart,dog,0,This heart was put inside a dog after its own heart had been removed.
5557,5558,employee,issues,0,"Since arriving in Cairns, co-workers have thrown the new employee into local issues."
1092,1093,story,standards,0,"Treasure Island is a gripping pirate story, fast-paced by the standards of its time and full of action."
7900,7901,ground,crane,0,It was this moist ground that during construction engulfed a crane which remains under the stadium today.
2234,2235,pliers,electrician,0,The pliers belong to John's electrician.
5496,5497,file,desk,0,The file was in the desk of a researcher employed by Kenny MacAskill and Tricia Marwick who had been dismissed earlier in the month.
2092,2093,curbs,sidewalks,0,There are drain openings on both sides of the street in the curbs of the sidewalks.
5473,5474,table,leg,0,A woman accused of throwing a table leg through the window of her home after her boyfriend refused to buy more beer faces a felony charge.
961,962,jam,canteen,0,"Trench pudding is made from broken biscuits, condensed milk, jam put into a canteen and cooked over a little spirit stove."
1819,1820,aluminum,can,0,"As time passed, aluminum formed itself into a can, a lid, and a tab."
3611,3612,student,phrase,0,The student formed a paragraph using a phrase from an original source.
2018,2019,recipe,magazine,0,"It's fairly rare that I follow an exact recipe from a magazine, but every once in a while a photo calls to me."
7398,7399,sink,room,0,"Interestingly, the sink was inside the room."
2395,2396,nest,snakes,0,I had a nest of garter snakes in the crack between the sidewalk and foundation last year.
413,414,body,duffel bag,0,The body was inside a duffel bag that was secured with duct tape.
3499,3500,unit,interceptor,0,"The unit consists of a mobile launcher, an interceptor and a command and control battle management and communication (C2BMC) system."
6944,6945,movement,sense,0,"Deeply chauvinistic, the movement is rooted in an atavistic sense of Indian identity that harks back to a mystical time."
194,195,treasure trove,libraries,0,"The city is a treasure trove of terrific libraries, interesting museums, and wonderful Victorian architecture complemented by the incomparable work of Scotland's greatest architect, Charles Rennie Mackintosh."
6053,6054,lemon,cake,0,Lemon cake is my husband's favorite.
1636,1637,play,humor,0,"The original play was filled with very topical humor, so the director felt free to add current topical humor to the script."
1933,1934,ginger,beer,0,The stone ginger beer has a ginger 'bite' without the 'ginger burn' of more peppery Jamaican ginger beers.
7362,7363,cupboards,kitchen,0,I find it hard to bend and reach and use the cupboards in my kitchen.
5325,5326,company,drums,0,"With operations in Scandinavia, the company manufactures plastic drums, jerricans and pails."
5760,5761,suitcase,things,0,A suitcase with his things in it was on the doorstep.
1686,1687,song,quartet,0,This lovely song by a virtually unknown quartet from Oklahoma epitomizes what a great wedding song is.
3089,3090,seeds,basket,0,"Instead of placing the seeds in a strainer basket, they were placed in a wet muslin or cheesecloth and hung up."
4252,4253,seat,truck,0,"I had enough plywood left over from previous jobs to build the box, and there was a nylon tow strap stored behind the seat of the truck."
7894,7895,building,open central space,0,The building contained a large open central space with tables and chairs as well as a nursery and two tearooms.
2131,2132,pups,wild,0,Three poor seal pups rescued from the Yorkshire coast were released back into the wild at Seal Sands on Teesside.
4096,4097,archaeologists,trap,0,Many archaeologists have fallen into a trap while working to solve the secret of this pyramid.
3270,3271,kids,sack,0,The kids get to hop around in a sack or pillowcase.
1039,1040,custom,military,0,"Although the custom originated in an all male military, it is gender neutral."
2310,2311,servomotor,arm,0,This was demonstrated for a servomotor driven-robot arm using a computer simulation.
7204,7205,valve,closed position,0,The discharge valve is kept in the closed position at all times unless the dike is deliberately being drained.
6818,6819,pack,cd,0,The pack contained a CD which held a range of resource information sheets and some presentations that could be integrated into your training packages.
2067,2068,jewelry,safe,0,"He made his way inside, where the jewelry was locked in a safe for the night."
6067,6068,recomendations,article,0,"That puts you a little above the recomendations from the article I linked, but not rediculously so."
3630,3631,flyers,boxes,0,Bogus water collectors have dropped flyers into people's letter boxes.
2359,2360,burner,herbs,0,"Thermocerin is a powerful fat burner that works with a combination of natural herbs such as White and Green Tea, Capsaicin, and Caffeine."
3525,3526,probe,outer space,0,NASA has dumped the probe into the deep outer space.
1797,1798,range,options,0,"As a result of their relatively narrower range of options, predictions regarding their behavior tend to be more accurate."
1302,1303,designer,palettes,0,"MFX colours are implemented at the design stage, where the designer creates artwork using the MetalFX colour palettes and actions."
3352,3353,designer,tool,0,The game designer also uses a very specific tool for his work.
1226,1227,system,speech,0,Scientists have successfully tested a system that translates brain waves into speech.
1714,1715,agent,discount,0,This happens when a collecting agent inadvertently applies the PNS discount to an ineligible vessel.
7725,7726,photographer,picture,0,"As for camera/lens info, the photographer made the picture, not the camera."
7126,7127,damage,dawn,0,"Their retreat was disorderly and confused and much like a flight, the Pallantines hanging on their flanks and rear and doing great damage from early dawn till evening."
2169,2170,fat,chocolate,0,The fat migrated into enrobing chocolate.
815,816,pier,forms,0,Dee's end caps make pier piling sidewall forms function more efficiently by locking the forms together so they stay in place.
2106,2107,pod,seals,0,"A pod of ringed seals burst out of the water, then dove, leaving in their place a piece of green ice shaped like a harpoon."
6026,6027,disease,patient,0,The disease was transmitted on to another patient by skin.
7071,7072,ship,harbour,0,They were sailing the ship away from the harbour laughing and cheering.
5482,5483,scientists,transistor,0,Scientists have succeeded in creating the first transistor made from a single molecule.
280,281,quality,oocytes,0,"The aim of this study, therefore, was to examine the embryo quality obtained from vitrified, warmed oocytes in a standard infertility population."
6121,6122,chamber,musician,0,"I hear it, too, in the lovely expansiveness of his work as a chamber musician."
7937,7938,juicer,fruit,0,The Norwalk juicer grinds and presses any fruit or vegetable.
2526,2527,wine,restaurant,0,"Last night, wine was brought to the restaurant."
1694,1695,test,achievement,0,"The purpose of this test was to report to the American public on the academic achievement of individual students, schools, districts, and states."
6105,6106,pork,defense,0,He's stuffed pork into defense and homeland security.
5584,5585,scripts,story,0,Students wrote scripts to narrate their story.
4797,4798,committee,amendment,0,The government of Iraq has established a committee to consider a proposed amendment to the Constitution of Iraq.
1474,1475,den,murderers,0,"About 1830, the New York Mirror described the area as a ""loathsome den of murderers, thieves, abandoned women, ruined children, filth, drunkenness, and broils."""
522,523,bike,bees,0,"Day after day, then, he has put himself into a hornets' nest, or what the Scottish call a bike of bees."
167,168,residue,flask,0,The residue was distilled from an Arbuzov flask.
7217,7218,box,cardboard tubes,0,"The box holds three stiff cardboard tubes, each wrapped in now decaying cellophane."
6740,6741,sleeve,shirt,0,"The right sleeve of this shirt features the Harley-Davidson Bar & Shield logo in orange, black and white."
6531,6532,seed,jar,0,The seed was discovered inside a jar full of the discarded pits of dates during excavations of Masada in the 1960s.
2854,2855,workshop,talks,0,Each day the workshop accommodated a few invited talks targeted towards generating discussions on open problems.
4635,4636,researchers,luciferin,0,Some researchers watered the plant with luciferin.
7271,7272,rain,seawater,0,"Rain comes from evaporated seawater, transferring not just water but the solar energy that took it from the sea."
